review_text,rating,author_name,timestamp
Great staff,10,Dillon,2025-10-05
Perfect ,10,mouhamed Alfred,2025-10-04
Easy drive to Denver and close to expressway ,10,Jaimee,2025-10-03
Great location for Airport stay,10,Charles,2025-09-27
Awesome ,10,Tanisha,2025-09-25
,10,MICHAEL,2025-09-18
"I've stayed at an Aloft previously and found the facility to be superb. However upon checking in at this particular location I was a bit disappointed with the conditions of the hotel. Maybe it is just an older facility, but it appeared to be worn down. My room was located on the 5th foor and the carpet throughout the hallways was lifting away causing ripples that were a tripping hazard. 

I was also surprised by the new parking charges. The hotel charges $16/night to park in their lot, which I feel is outrageous considering this is NOT a downtown hotel with a parking garage. It is merely a suburb hotel with it's own parkin lot. This alone will deter me from staying at an Aloft in the future. 

The room was relatively clean, however the shower did leak through a gap in the door onto the bathroom floor.

The front desk staff were very friendly and helpful. ",6,TaBetha,2025-09-17
,10,Cindy,2025-09-12
,10,Jeff,2025-09-12
,8,Daniel,2025-09-08
Fun vibe,10,erin,2025-09-08
,4,Bryce,2025-09-05
"Really close to the airport with shuttle service and walked distance to restaurants.  You do have to pay to park, I paid $17 to park one night. No breakfast included but they have coffee and tea in the room. Clean room and comfy beds.",8,Karla,2025-09-04
"Always one of my favorite places to stay. Check in was an easy, rooms are always comfortable and great for short stays. ",10,Jenna,2025-08-28
The beds were not comfortable for my liking. They moved a lot from the bed frame. My room was located near the hotel entrance and unfortunately had some very loud people having a conversation at 2:00 in the morning.  ,4,Alejandra,2025-08-26
,10,Shila,2025-08-24
,10,George,2025-08-13
Nice clean property ,10,Robert,2025-08-11
,10,Alonso,2025-08-09
,8,Sonja,2025-08-08
,10,Deidre,2025-08-03
,10,Lauro,2025-08-01
"Our stay was average overall, but the parking situation was really disappointing. We had to pay for parking, yet when we returned later that night, the lot was completely full and we had nowhere to park. This really took away from the convenience of our stay.",6,Walter,2025-08-01
,10,Mark,2025-07-30
"Our stay was pleasant. At check-in we couldn't find anyone around the front desk or a sign or way to get ahold of anyone. When someone showed up he was very friendly and helpful. Check-in was seamless. The room itself was average, just don't look too closely. It was surface clean, but needed a good deep clean. Our shuttle to and from the airport were great too.",8,Tessa,2025-07-27
,10,Leslie,2025-07-25
Water was off the day of check out and we were unable to shower. ,8,Shaunele,2025-07-22
Good hotel ,8,Darren,2025-07-21
Easy check in. Host was very hospitable. Nice little bar in the lobby area which was a great surprise. ,10,willis,2025-07-18
