review_text,rating,author_name,timestamp
"The stay at Fenwick Shores in Ocean City was very comfortable, and the staff was very helpful. ",10,Lisa,2025-10-07
Ok,10,Joel,2025-10-05
Would prefer complimentary breakfast,8,Joan,2025-10-03
Awesome ,10,Barbara,2025-10-02
,10,Carleen,2025-09-30
Another great stay here. Staff is friendly and efficient.,10,Robert,2025-09-30
"Parking was great being right on the premises. The room was very clean and the set up was great. We would definitely book again. The beach was one block away, loved that!",10,Linda,2025-09-29
Gret stay,10,Andrea,2025-09-28
,10,Carleen,2025-09-27
One of the nicest spots in Fenwick,10,James,2025-09-27
"The hotel offered contemporary, spacious and clean rooms, great restaurant/bar and lounge area and conveniently located to beaches and Maryland’s Ocean City",10,Rochelle,2025-09-26
The room was very clean ac was on and very convenient. Staff was vwry friendly aswell,10,Chris,2025-09-23
,10,donna,2025-09-19
Great check in the counter person was super friendly.  I had wings for the Thursday night game and they were excellent.,10,Robert,2025-09-19
"Absolutely perfect. Friendly staff, fantastic rooms. ",10,Amit,2025-09-17
,10,Mackenzie,2025-09-16
"Our room was clean and comfortable. We appreciated the seating area being a little separate from the two queen beds. My husband could stay up a bit late without disturbing my daughter or me. We didn't really use the kitchenette except the refrigerator. Only issues we had was that the bathroom door is a rolling one that, while providing visual privacy, does allow those in the room to hear ever sound from the bathroom.  ",10,Sandy,2025-09-16
,10,Kenneth,2025-09-16
Lovely place!  Very clean and relaxing.,10,Cecilia,2025-09-15
Great front desk and CLEAN room and sheets.,10,John,2025-09-14
,10,Kevin,2025-09-14
,10,Nancy,2025-09-14
"A great hotel!  I usually have some issues with most hotels, but not this one.  The room we had was well-appointed and everything worked.  The beds were terrific.  The bathroom and shower were very high grade. The thermostat controlled both heating cooling flawlessly and silently. The staff were terrific.  Our room was spotlessly clean.  It was a short walk to the beach and the hotel swimming pool was perfectly maintained.  I give this hotel my highest recommendation.  It’s now my go-to hotel on the Maryland/Delaware shore. ",10,William,2025-09-12
,10,Andrew,2025-09-07
I LOVEED EVERYTHING ABOUT THE STAY! Thank you so much!,10,Jacqueline,2025-09-05
,4,Laura,2025-09-04
Staff is fantastic.  ,10,Keith A.,2025-09-01
,10,Elizabeth,2025-08-29
,10,Amy,2025-08-28
"Nice hotel, clean and close to the beach. It has one very friendly staff. We have been at this hotel before and liked, it was impressive. This time was a little different. The door of the room was either too old or damaged but could not open enough to let the luggage cart through. We had to lift and push the door hard. We asked to switch to another room and they accommodated that. There are two TVs in the room but the remotes controlled both at the same time so it was either ours or the kids' shows on both screens. For example if we changed a channel it would also change it on the other TV. The cleaning crew are loud but thankfully they came around 7:30 or 8. They chat and laugh very loud.  ",6,Melat,2025-08-26
,10,Alicia,2025-08-25
,10,Michelle,2025-08-25
With the amount of money for the hotel there should have been free breakfast. Other than that…very nice!! ,8,sarah,2025-08-24
,10,Verified traveler,2025-08-24
"When we went to desk to check in Sunday early  evening there was no Staff to be found. There were several of us waiting at desk for 10-15 minutes. A sign said they stepped away!? Staff could not answer questions about why there were no emergency lights in the 1st and 2nd floor lobbies when the lights were off due to a power outage. It was pitch black in those areas, you could not see at all outside our room in hallways.
We had no local TV the entire time during our visit. We would receive ERROR CODES on both televisions in our suite. The staff was unable to help us with this issue. We did not get what we paid for.",4,Dean,2025-08-22
You really need to add more luggage carts or monitor them in some systematic way. The only other thing that was very disturbing was to come home at night and have a car blocking your way in and when I walked in to get help there was no one present at the desk. ,8,Irene,2025-08-20
"We enjoyed our stay! Very close walk to the beach. Clean rooms, lobby, pool area and restaurant. Staff was friendly and accommodating. We would definitely stay again. Only thing we were not aware - we only had access to one parking spot on the property. Our second vehicle had to be parked at an overflow lot about a block to 2 blocks away. ",10,Erin,2025-08-18
People were nice good amenities ,10,Max,2025-08-11
,10,Christine,2025-08-07
,10,Tara,2025-08-06
"The waiter from Romania was very nice and helpful to us. Everyone seemed very professional. Its a charming and quaint hotel, and my husband wants us to return for another getaway.",10,CHRISTINE,2025-08-01
,10,Sonya,2025-07-29
Cute.  Clean.  Not ON the beach but walkable!  Bikes were old but nice to have and be able to use!,10,Nicholas,2025-07-28
,10,Karen,2025-07-23
,10,Jason,2025-07-22
,10,Suzanne,2025-07-21
,10,keerat,2025-07-21
