review_text,rating,author_name,timestamp
,10,Jay,2025-10-07
Clean room Staff beyond good ,10,LUCIA,2025-10-06
"We traveled to Colorado to see Sleep Token at the Ball arena. We liked that the hotel was only an average of a 20-30 minute drive to the arena and downtown area! The rooms were very clean and the beds were the most comfortable beds we have slept in by far! Between the comfy beds and black out shades in the room, we got the best sleep of our life. The hotel is in an overall great location and we enjoyed our experienced! ",10,Elissa,2025-10-05
Front desk registration was excellent.  Nice clean hotel close to airport.  Good coffee ,10,Edward,2025-10-05
"Great location if you’re flying in or out of Denver, shuttle is nice to have. Didn’t try the breakfast, room was nice & clean. ",10,Kaycee,2025-10-05
Staff was very friendly,10,Laura,2025-10-04
,10,jeffrey,2025-10-01
"Convenient to airport, friendly staff and superb room quality. Highly recommend. ",10,Terry,2025-09-29
"Excellent service! Wonderful breakfast!!!
Comfortable bed! 
Bathroom not good! Single tiny lav. No place to set anything! 
Shower curtain a foot short! 
No instructions on remote to lower or raise the two window shades! ",8,Mary,2025-09-29
Staff did everything possible to accommodate us. Matthew took great care of us and made us feel welcomed!! Special shout out to him. Breakfast was awesome ,10,Daysy,2025-09-28
"I paid over $300 for one night at the hotel. They charge for parking which, I think, is ridiculous. It’s not in the heart of the city, and there were many available spots. For $300 parking should be included. ",8,Terry,2025-09-27
Friendly check in - staff is so helpful & professional ,10,Arnold D,2025-09-26
It was near the airport and has a shuttle. The front desk  staff was very helpful.,10,Michael,2025-09-25
,10,Kristen,2025-09-23
Clean room And great stafg,10,Thomas,2025-09-23
"Biggest issue was noise. Poor sound insulation to the point where I could hear the person in the next room snoring and people talking and moving around in other rooms as well. I don't believe the other people were being overly loud, it's just the property seems to have no sound insulation. Shower was also disappointing with low pressure. ",4,Douglas,2025-09-21
"Very good
",10,Carlos,2025-09-21
A+++ property all around.  Stayed here on several occasions.,10,Randy,2025-09-18
"Staff was friendly, room was clean, bed was super cozy. 

Only reason for the lower rating is that this hotel is so poorly constructed that I could literally hear every single movement and footstep of the neighbors above, below, and next to me. My bed would literally shake with every footstep as I was trying to fall asleep. I will likely never stay here again for that reason alone. ",6,Sarah,2025-09-17
"I liked the property because it’s clean and comfortable.
The breakfast for American standards was very nice.",10,Joanna,2025-09-16
,10,Rosemary,2025-09-16
Close to National Parks,10,Jeffrey,2025-09-15
The nearby Gaylord property had lots of dinner options. The staff at this property were amazing..The hotel felt new or was decently remodeled.The airport shuttle was super easy. Would definitely stay here again!,10,robert,2025-09-15
,8,GEORGE,2025-09-14
,4,Mellisa,2025-09-14
"We checked in and the internet was down, so they had us write our cc info on paper sheets. I shared my safety concerns about having our cc info on papers at the front desk and the women checking us in did not respond. Later, we came down and there were a stack of papers with people’s cc info sitting unsecured on the front desk, not even behind the counter, but out where anyone could easily take a pic. The woman working only moved them behind the desk when I said something.",4,akilah,2025-09-13
