review_text,rating,author_name,timestamp
"Our stay at the Renaissance New York Harlem Hotel was  wonderful. The hotel is beautiful, comfortable and an inspiring reflection of the genius Harlem, New York through the ages. The staff was attentive, responsive, professional, well-informed and courteous throughout our stay. The restaurant staff was great, the menu was rich and diverse in it's culture and the food was delicious! we look forward to staying at the Renaissance New York Harlem Hotel next time we travel through the ""Big-Apple"".    ",8,Hilary,2025-10-06
Clean room great area for shopping ,10,fianmy,2025-10-05
,10,Hideki,2025-10-05
"Great experience, convenient location, Victoria Restaurant breakfast was good except for gaving no espresso. ",10,Gayle,2025-10-04
I enjoy staying here when I’m in Harlem. I can get good prices on this hotel and it’s convenient to everything I need to reach in Harlem.,10,Julia,2025-10-02
A beautiful property in a special part of New York. ,10,Georgia,2025-10-01
Good ,10,Laroy,2025-09-29
"We had noisy neighbors, but they settled down after a bit. It was an enjoyable stay. It is our second time staying here and the staff has been tremendous both times.",8,Terry,2025-09-28
Beautiful hotel,10,Junior,2025-09-27
Staff were amazing Thank you everyone...Rooms small but they were beautifuly done. The bar and resturant was very nice and I loved the music and being right in the heart of Harlem.,10,Sharon,2025-09-27
,10,Shakellia,2025-09-27
"The room was beautiful, the hotel itself was gorgeous! I was able to get my work done with no interruptions or distractions.",10,Noelle,2025-09-27
,10,Shakellia,2025-09-26
,10,Enrique,2025-09-24
,8,Donnie,2025-09-24
Clean room and simple check in and out process. ,10,Brittany,2025-09-23
Great Experience ,10,Tanique,2025-09-22
"The hotel is gorgeous, we had a spectacular view of Central Park and the NYC skyline. The food at the Victoria Restaurant was fantastic - we had several meals including brunch, lunch, and dinner and the atmosphere was also excellent! Will definitely return!",10,Elvira,2025-09-22
"Beautiful. Zero complaints. Being from Harlem, to come visit after years living abroad, and see this place l, and interact with the people who work here, and are staying here!? I think it’s amazing! 👍👍❤️",10,damon,2025-09-22
Las atenciones ,10,mayeline,2025-09-22
Staff was very pleasant. Hotel was accessible to subway. ,10,Rodmund,2025-09-21
,8,Kalvin Angelo,2025-09-20
,10,Anthony,2025-09-20
,6,Ameer,2025-09-19
Nice room and close to subway,10,Rachel,2025-09-18
Only complaint is the food always coming out cold. However the staff is always above approach. ,10,Venus,2025-09-16
,10,Elisa,2025-09-16
,2,Yuchen,2025-09-15
Great hotel! ,10,Regina,2025-09-12
