review_text,rating,author_name,timestamp
Felt like home. Loved the one bedroom with living room and kitchen. Clean and quiet. Staff were friendly. Breakfast was good. A little annoying to pay for parking ($12 USD a day).,10,Kim,2025-10-07
We enjoyed our stay.  It was a one bedroom apartment and I so appreciated the layout!!  My daughter slept on the hideabed and we in the bedroom.  Loved the walk-in shower and also the soap selection in the shower!  The kitchen was stocked enough for us.,10,Tomme,2025-10-07
"Amazing 2 bedroom suite with 2 separate bathrooms. Roomy, clean, and friendly check in. Will stay here whenever we are visiting Denver!",10,Sharon,2025-10-06
Super friendly and accommodating staff!,10,Erin,2025-10-05
IT WAS AMAZING EVERYTHING WAS GREAT AND THE PRICE WAS GREAT ,10,debbie,2025-09-29
"Clean property, service at check in was great, pool/hot tub was nice, and in a safe neighborhood near plenty of shops and restaurants. ",10,Courtney,2025-09-27
"Clean room, loved that I got a living room and a kitchen for such a good price. There were 2 fire alarms shortly before check out time, it was very loud, but it was resolved pretty quickly.",10,Rachelle,2025-09-26
"A lot of space for good price. Clean rooms, breakfast included. Lady at the desk was wonderful. 

The one bad thing was there wasn’t enough staff working in the breakfast area and they ran out of food and plates and quick as it was coming out of the kitchenz. ",8,Alyssa,2025-09-23
Comfortable stay,10,raymond,2025-09-22
,10,Celina,2025-09-22
"Check in was a little rough. Could not understand checkin employee.
Room was awesome!
Quiet, clean, perfect",8,Kenneth,2025-09-21
,6,Liliana,2025-09-21
,10,Erica,2025-09-19
"Walkable distance for Restaurants. 
Facilities  are nice and clean, complete with kitchen stuff. 
Staff are very accomodating. 
Love to come back and will  stay again next time.❤",10,M,2025-09-19
Appreciate the upgraded room. ,10,Darrin,2025-09-19
"Was a great place to stay with a large group. Plenty of gathering spaces, great breakfast and easy to get around. Will stay again!",10,Amy,2025-09-17
"The staff was wonderful - check-in, housekeeping, breakfast buffet.  The property was filthy.  I wiped down the elevator buttons myself.   Doors didn't work, the spa had been down for several weeks, fire alarm in the middle of the night with ZERO direction from staff",6,Dayna,2025-09-17
,10,jose,2025-09-16
It had everything provided to make our stay very enjoyable and overall one of the best hotels I’ve stayed at. ,10,Michelle,2025-09-16
,8,Katherine,2025-09-15
Friendly front desk staff,8,Peter,2025-09-15
,8,Amy,2025-09-12
,10,Tatiana,2025-09-12
