review_text,rating,author_name,timestamp
Very friendly service. The room was clean and view was beautiful.,10,Carla,2025-10-05
Its good,10,Andrew,2025-10-04
"This hotel nickel and dimes you on everything. 

Parking? Extra charge ($16 a night!!) 
If you use the mini fridge? Extra charge.
Want breakfast? Extra charge.

Fan in our bathroom didn't even work and the bed covers were like plastic.

Completely overpriced at $159/night.",2,Kimberly,2025-10-03
,6,Richard,2025-10-03
Lots of food options around hotel.  Clean.  Quiet.  ,10,Douglas,2025-10-03
Easy place to work from. Very thoughtful and accommodating staff!,10,Kristin,2025-10-02
"-was not given correct room- reserved king but got very small queen
-new parking system was time consuming and did not give receipts for expensing
-room dingy and small
-would not stay again",2,Catherine,2025-09-30
,10,David,2025-09-27
"The lack of free parking was not disclosed at all on Expedia website and inadequately disclosed on the hotel website. No yogas mats in the gym, other guests and I were on the dirty carpet with little towels. And no free breakfast in contrast to Hyatt Place across the street. A huge disappointment ",2,Mark,2025-09-26
Room was amazing ,10,tanisha,2025-09-26
,2,Lee,2025-09-25
,10,Cody,2025-09-23
"This hotel needs some work.  Cosmetic issues from the lobby to the room.  Room was not cleaned properly and fridge was broken, shower missing shower gel with what looked like mold in the holder.  Ordered a king bed but given two queens.  Told hotel was booked to capacity.  Does not make sense that if i book that room dont give it to someone else.  For the price tou can find better",6,jimmie,2025-09-15
The Bistro restaurant is below average in taste.  Gas station food for $$$ pricing.,6,Tim,2025-09-15
,10,Juan,2025-09-15
"Awful.  Stayed in hotel several times before.  This is hotel in suburban parking lot, plenty of spaces.  Now they’ve imposed ridiculous parking fees.  When you check in there is a 30 minute line with guests asking how to scan the signs that mention parking fees.  Front desk people say it isn’t their fault. Received ticket after having to wait in line .  Scum bag hotel.  BOYCOTT HOTEL.  ",2,mitchell,2025-09-15
"My sister and I attended a family wedding in Denver on Sunday. We checked in between the ceremony and the reception which the hotel was in between the church and event center which made it convenient.  Our check in was alright, a little slow but there was someone ahead. The hotel personnel advised us that when we return we'd have to register the car for parking which would be 16.00. We thought that was extreme. When we return hours later and we parked and went in to register the car and pay at the front desk. However it all had to be done through this website, the hotel didn't handle that at all. I thought well that's not good service at all if you can't just pay the cash directly to the hotel. The room was fine, small but the restroom we was tiny. Just large enough to turn around, no vanity just a small strip around the toilet to sink. You couldn't put anything of size out. We had to use the countertop out where the coffee and water were. The toilet also very small and set low. The bed's were very comfortable and we both slept well. The next day we checked out and my sister wanted a snack, so she got crackers a Hershey Almond bar and a water bottle. It was 19.46 which again shocked us both. Especially since the parking was 16.00. We both felt the prices for parking and snacks are out of control. It worked out for our convenience but I don't think I'd could recommend it to others.",6,Jonathan,2025-09-14
Check in clerk was very nice.😊 ,10,Pamela,2025-09-13
,10,Maria,2025-09-12
"The front desk staff were friendly and helpful. We needed more towels, we immediately got more towels. We needed to store luggage and were kindly given tags for storage. I forgot my medication for my multiple sclerosis and called and the cleaning staff had set it aside for my daughter to pick it up. The employees were so helpful and happy to greet us each day. We also enjoyed the flavored water that was regularly freshened up and displayed so we could fill our water jugs everyday. It is close to DU, where my daughter attends college. I will be staying here again! I highly recommend this hotel. ",10,Emily,2025-09-10
"It was a comfortable, clean stay. The food at the onsite restaurant is excellent. The only thing is that there seemed to be only one worker at the time we came in for dinner and it was not busy at all and she was bartender, waitress and bringing out the food. The next day for lunch was similar although there seemed to be another person behind the bar as well.  Overall, excellent food and worth the wait. I did not like that the parking fee was $15 per night considering the parking lot is small.  I don't see why a fee has to be added. ",8,Denise,2025-09-08
It was just okay . Not a great value for the price,6,Darlene,2025-09-07
Great hotel for the DU college drop off. ,10,Kathleen,2025-09-07
Not interested ,10,michael,2025-09-06
,6,Amy,2025-09-04
"The hotel is spotless clean, beds are comfortable, great location - can easily get around - good restaurants nearby, fantastic staff!  Not one complaint.",10,Barbara,2025-09-04
Have to pay for parking every night in an app just put it on the bill ,2,Patrick,2025-09-03
"I loved the stay. The only downside was that the hot tub is under repair, but we knew that. The room was clean, quiet, well equipped and very accessible. I thought that the hotel noise level might be noticeably high being close to the interstate and Colorado Blvd., but it wasn’t. Even with an entire football team of 65 or so on the upper floors we heard no extraneous noise. I would happily choose this Courtyard again a will. ",10,Kevin,2025-09-01
Place took forever to check in it's dirty and they charge u for parking after you check in place sucks ,2,Patrick,2025-08-31
,10,Claudia,2025-08-29
The hotel staff members are very friendly.,10,Yan,2025-08-29
,8,Monica,2025-08-28
,10,Zauri,2025-08-26
,10,Michael Andrew,2025-08-23
Close to Denver University and I love to only go downstairs for morning coffee!,10,Andrea,2025-08-20
,10,Megan,2025-08-20
"We did like the location, but charging per person, per car when we were all meeting for a family activity was outrageous.  So 4 people and 3 cars being charged $45 a day for parking?  Beds were hard, hot tub was not even running. No breakfast even offered - $854 for 2 nights disappointed as we could have stayed down the street for half of that. ",4,Michael,2025-08-19
"My husband and I lived in this part of Denver for ten years and come back every summer to visit family and friends. We've stayed at this hotel on our annual visit for the past three years, but after this stay, we won't be booking here again. We checked in around 9:30pm and wound up being given a room right behind the elevators. I'm pregnant and already sleep terribly and the elevators moving and making noise could be heard throughout the room. I quickly returned to the front desk and asked politely if there might be any way to switch rooms, explaining my current situation. The gentleman at the desk responded curtly with, ""No, it's not possible. When we're busy, it's my job to make sure that people who book through third-party websites get the least desirable rooms."" I understand that we had checked in later in the evening, but 1) why would you admit to that policy, and directly to a customer? and 2) when I asked if perhaps we could switch rooms the following day as people were checking out and rooms were being cleaned and turned over, he said no. Between that, the parking fees, and very high price for an older hotel with few amenities to offer, we'll be looking at other options for next year. ",6,Verified traveler,2025-08-19
Close to my work,10,Michelle,2025-08-19
"Enjoyed the queen size bed room with sofa bed which was comfortable to relax on with a book. 3rd floor offered a nice view of the mountains with beautiful sunsets. Never had to wait long to use the elevator- there are 3 of them. 
In August- appreciated the cold fruit infused water always available in the lobby. I would stay here again.",10,Valerie,2025-08-19
,6,Kelly,2025-08-17
,10,Amanda,2025-08-17
,10,Mark,2025-08-12
The gentleman who checked us in was awesome. He was so friendly and nice. When we were going out to the car he was checking in a big group of people and he them all laughing and happy. He was awesome. The furniture in the rooms is very worn and dated. The bed was like a sheet of plyboard. I woke up sore instead of rested. ,6,ANNA,2025-08-11
"Thanks Mr. James. It was a great check in, and a real nice stay. ",10,thomas,2025-08-11
"The staff was great, room was nice and clean. The only issue I had was the noise from the road. I requested a quiet room because of previous noisy rooms I have been in, in the past. The lady at the front desk gave me a room facing the road and of course, it was really loud. ",8,Robert,2025-08-08
,6,Merrill,2025-08-07
"Bad experience, will never go there again ",2,Karam,2025-08-06
Stunning view of downtown Denver and Rocky Mountains. One of the most peaceful stays of my life,10,Daniel,2025-08-05
"We enjoyed our stay here! Front desk was great and our room was nice with a Mountain View. Breakfast was quite good and the beds were comfortable. We all slept well and it was pretty quiet at night. It was a bummer that the hot tub was closed but otherwise, everything was great and we’d stay here again. ",8,Jenna,2025-08-03
Quiet and peaceful ,8,Andrew T,2025-08-03
"Felt safe and it was quiet to sleep well. Except we had to pay $15 to park in the back which wasn’t enclosed all around. Otherwise, we enjoyed our stay.",10,Andrew T,2025-08-03
,10,Carlos,2025-08-03
,10,Kenneth,2025-08-02
,10,Molly,2025-08-02
Property is off the Main Street which is good ,8,Michael,2025-07-21
Bathroom is way too small,10,Michael,2025-07-21
Excellent customer service ,10,jackie,2025-07-13
,8,Brenda,2025-07-08
,10,Robin,2025-07-08
"Outstanding staff, very clean, easy self parking. The room was a little tired and food/beverage options were limited. ",10,Steven,2025-07-08
Great Property ,10,Clement,2025-07-03
,8,Raissa,2025-07-01
,10,Brent,2025-06-29
,10,Tiffany,2025-06-29
,10,Brent,2025-06-28
,8,Kacy,2025-06-28
,10,Patricia,2025-06-27
"same fee for a roof/ac view as a mountain view, no daily maid service due to a 2 night stay, son's aac didnt work, switched rooms to another room w/no ac, replaced ac unit without a courtesy discount for major inconvenience, they had 2 children with them",6,Les,2025-06-24
,10,Claudia,2025-06-23
I only had an issue with the bed it was hard and uncomfortable ,8,Shante,2025-06-22
Good location,8,David,2025-06-22
,10,Kristi,2025-06-16
,10,David,2025-06-11
"We loved the location, beds were comfortable and the hotel amenities were very nice. I was a little surprised that there was no housekeeping service unless you stayed more than three nights, at least that’s what the front desk told me. They did come by on day three, but it was late in the afternoon and I was napping,  so I just got a few clean towels and toilet paper.  it was fine, but I’m just not used to that at a hotel.",8,Nancy,2025-06-10
,10,Jeffrey,2025-06-10
It was very convenient to where we were spending time with family. I liked that there was restaurant onsite with good food. Also had a little pantry available with drinks and food that could be heated in the room.,10,Mary Ellen,2025-06-10
Rooms were clean and stocked well,8,Michael,2025-06-08
,6,Samantha,2025-06-07
