review_text,rating,author_name,timestamp
Emerson & Joy at the front desk were awesome !,10,Regan,2025-10-07
,10,Saul,2025-10-07
,8,Jena,2025-10-07
"The place was clean, staff were friendly, and the area felt safe and close to lots to do",10,Brendan,2025-10-07
Centrally located and walkable to the best that New Orleans has to offer,8,Steven,2025-10-06
"I liked that it was conveniently located.  i did not like that they did not have housekeeping each day, or even every other day.  We checked in on Tuesday, left on Saturday, had to ask for clean towels.",6,Rita,2025-10-06
"Awesome room, other than given the wrong keys and having to wait on our anniversary. The staff was very friendly but gave me the wrong keys and the wrong food on my order. They had a lot of shops near by and the gym was awesome. The hotel needs to do better but the attitudes were amazing. The people were so nice ",2,Rene,2025-10-05
Love Love Loved the connivence. Loved the room & the view !!,10,DeAndra,2025-10-05
Clean room,10,Darius,2025-10-05
"amazing stay, love how  clean it was most important staff was wonderful. ",10,Altamese,2025-10-05
"Friendly professional staff. Ms Carmen, and Ms Joy make sure you are informed and have a good visit. Breakfast crew and bartenders polite and do the small things to make your experience better. Location close to a few restaurants and in walking distance to the Riverwalk that has a mall attached.",10,james,2025-10-05
Everything was perfect... Location was amazing!!,10,Britney,2025-09-30
The sprinklers went off and we were forced to walk up seven flights of stairs for 2 days after the elevator broke,2,William,2025-09-29
We got a free upgrade and the room was amazing ,10,Brenda,2025-09-28
,2,Marc,2025-09-28
,8,Brock,2025-09-28
,2,Brock,2025-09-27
Clean Room,10,Jan Carlos,2025-09-25
,10,Rhonda,2025-09-24
"I loved how the doors opened when i arrived. Made me feel welcomed, valued, andbat home.  The young lady i think her name wa Coco. She was very nice and sweet which made a long day of travel worth getting there.. Also the bar staff was super nice and and attentive. ",10,Vernon,2025-09-24
"Everything was perfect!!
 ",10,lajuana,2025-09-22
,10,Bessie,2025-09-22
"Everyone was delightful as usual. I have been staying at this location since it was the W. 
The staff make it all worth while ",10,Roger,2025-09-21
"The property was very elegant, valet and staff were super helpful and friendly. The rooms were nice and clean. The bed was everything, we did not want to leave. I love the option of late check out. Once we parked our car didn’t move again until it was time to leave. We walked everywhere, very convenient location. The bar downstairs was worth it the drinks were strong and to the point with reasonable prices. Will definitely stay again. ",10,Lacreshia,2025-09-21
,10,Nicolas,2025-09-21
,10,Paul,2025-09-21
The property was nice and comfortable.  The team was very attentive and continued to ask how the stay is going.  I did get charged for $38 of something in the Mini Bar no one is able to determine what it was since I do not drink alcohol or did not open the bar at all … ,10,Larry,2025-09-21
Loved the hotel. 2nd time staying there.  ,10,Heather,2025-09-20
,8,Al,2025-09-20
"Overall a good stay for the price. Rooms were spacious, clean, and comfortable. The location felt safe and was within walking distance to the Superdome. Valet service was excellent and the downstairs bar was nice. Only disappointment was that the poolside bar advertised wasn’t available.",10,Betsy,2025-09-20
It Was Beautiful The Scenery Was Wonderful,8,Tameka,2025-09-18
Bar/restaurant staff could be friendlier ,8,Robert,2025-09-18
,10,LAKEISHA,2025-09-18
,10,Ronald,2025-09-18
,10,Justin,2025-09-18
Beds uncomfortable and the rooms were not clean,2,Roxanne,2025-09-17
"This hotel was PERFECT NO COMPLAINTS AT ALL DEFINITELY STAYING AGAIN 
BED SUPER COMFORTABLE ROOM SUPER CLEAN ",10,Duane,2025-09-17
Great place and very convenient,10,Courtney,2025-09-17
I loved this place. Everything was perfect and the staff was great . They took Great Care of us . ,10,Montez,2025-09-17
The property was very clean and staff was very friendly. Will definitely book again ,10,makaylen,2025-09-16
,6,sabrina,2025-09-16
Very kindness staffs,10,Hyojung,2025-09-16
