review_text,rating,author_name,timestamp
Poor cleaning and very forgetful ,6,Shaikhah,2025-09-28
"Went to celebrate my mother’s birthday. Initially excited because room was beautiful and spacious. Quickly became a problem with stressed barking dog in the room next door. We checked in at 4:30, dog didn’t stop barking until 11:30 when the owners came home. The front desk offered to  move us, but we needed an accessible room and there were no other available. Front desk said they couldn’t do anything about the dog until midnight and then they could call the police. Absolutely awful. And then, to find out the room charge through hotels.com was double the price of what I would have paid booking through Marriott… ugh… done. ",4,Laura,2025-09-28
,10,Maria,2025-09-24
"Everything was clean, quick check in and easy access! ",10,Katherin,2025-09-23
"Was disappointed, found room nice but, bathroom floor looked like washed with dirty water, ac extremely noisy and fridge never got cold. Every time went by front desk staff in conversation and i did choose not to wait and complain ",6,sue,2025-09-20
"Beautiful hotel, great location.",10,Wendy,2025-09-18
Great property. Kids loved the pool. Nice lobby area and beds were comfortable.  ,10,Brian,2025-09-18
,4,Iris,2025-09-15
,10,Rachelle,2025-09-14
Very pleasant environment,10,Frank,2025-09-10
Incredible just incredible ,10,Edward,2025-09-07
,10,Faith,2025-09-06
Nice smaller hotel.  Great spot,10,William,2025-09-06
,2,Sharon,2025-08-27
"Great walking, shopping, dining",8,Lori,2025-08-27
,10,Anita,2025-08-26
,8,Patrick,2025-08-22
,10,Argiros,2025-08-22
,10,Keri,2025-08-21
,10,Aaron,2025-08-17
,10,Jeremy,2025-08-15
,10,Donald,2025-08-12
Excellent property luxurious spotless with great service.  Bellman and check in with Darlene went smoothly.  One small problem.  We asked to extend our stay one day.  They agreed and said the price would be the same.  The next day the bill was $200 more.  I spoke with the manager and he immediately corrected the bill and to apologize gave us a breakfast coupon.  Beautifully handled and much appreciated.  Great hotel with lots to do in the area.,10,Alan,2025-08-09
,10,Amanda,2025-08-08
,10,Maria Jorgelina,2025-08-06
,8,Stephen,2025-08-03
Great stay!,10,Trevor,2025-07-31
The location is awesome,10,Neneeh,2025-07-29
bad bed,6,Tara,2025-07-29
Beautiful hotel with lots of shopping close ,10,Lori,2025-07-27
,10,Kristine,2025-07-26
I know this hotel is new. Everything was so nice and fresh. Loved first walking in and it smelled so nice. Every thing was clean and neat. Our room was nice as well. Definitely will stay there again.,10,Jessica,2025-07-25
Had everything you could possibly need,10,Christina,2025-07-20
It was nice ,10,Arthur,2025-07-20
"

Con I

Convenie 








e


",10,Carmen,2025-07-20
,8,Dianna,2025-07-18
"Property located in a very vibrant area with shops, restaurants and a beer garden. Hotel staff was amazing and room was very clean and we definitely will be back. ",10,Arvinder,2025-07-17
Front desk staff was very accommodating. Quick and easy check in. Pool area was beautiful and relaxing. Room was beautiful ,10,Bunrany,2025-07-17
Always a great stay!,10,Rachel,2025-07-13
"Modern and clean hotel with a good restaurant, coffee cafe, and rooftop bar in the hotel. Very nice outdoor pool and hot tub. Spa available but didn’t book anything. Great shopping area outside the hotel. Only complaint is we stayed for 2 nights and housekeeping didn’t clean our room after the first night. We had to request fresh towels, more bottled water, bed was never made up, etc. For the nightly price, the room should be made up daily. ",8,Jennifer,2025-07-13
,10,John,2025-07-13
,10,Samantha,2025-07-12
Great restaurants and shopping all walking distance. Nice staff too. ,10,Philip,2025-07-11
,10,Chris,2025-07-10
,10,Lois,2025-07-10
,10,David,2025-07-08
"Great atmosphere for a girls trip, we did a cooking class at the Tuscan kitchen. Craft cocktails and the appetizers in the rooftop bar were delicious. We thoroughly enjoyed dinner at the Tuscan market. The hotel is clean, very comfortable beds. It was a great getaway all around. ",10,Tara,2025-07-08
It was a great stay for the most part but the room was a not properly cleaned as we did find a child’s toy under our bed. ,8,Maria,2025-07-07
"Absolutely fabulous! We live in MA but wanted to get away for the night to a hotel with a pool. Hands down, this hotel is beautiful. Drinks by the pool and everything is within walking distance for a good time. The rooftop bar has a dj on the weekends. You will not be disappointed. ",10,Leanne,2025-07-06
"We were a large group with many rooms, yet the staff at The Artisan made each of us feel like their most important guest. From check-in to housekeeping to rooftop bar to fitness center, the team was professional, efficient, and warm. The location was perfect for a get-away with nearby shopping and many restaurant options within walking distance. ",10,Wendy W.,2025-07-06
It was really beautiful property and a great weekend getaway.,10,Joseph,2025-07-06
Great potential. Nice area and nice hotel but their are a lot of kinks. Housekeeping is terrible. Pool is packed with people not staying at hotel. ,4,Lorne,2025-07-05
,10,MELISSA,2025-07-05
,8,MUSTAFA,2025-07-03
,10,Cindy,2025-07-02
"Excellent! Clean, staff was amazing. ",10,Kate,2025-07-01
Excelente ,10,Elionic,2025-06-29
Nice clean hotel with great amenities ,10,scott,2025-06-29
,10,Barbara,2025-06-27
My first time stay and is wonderful excellent service and i return back ,10,JOSE,2025-06-26
The hotel was beautiful!! ,10,Kimberly,2025-06-25
,10,benny,2025-06-23
Great location with many restaurant options,10,Richard,2025-06-21
,10,Hidetoshi,2025-06-18
,10,Cedric,2025-06-18
,4,James,2025-06-16
"Everything was clean and all members of the team were helpful and professional, though the TV in our room was broken (and apparently couldn’t be fixed by tech support). Additionally, the $15 to park overnight seems underhanded - there’s plenty of space and this should be free to all guests",6,Lake,2025-06-16
We enjoyed our stay ,10,Jhennel,2025-06-15
,10,Jasmine,2025-06-14
,10,Michelle,2025-06-01
,10,Sherrie,2025-05-19
,6,Laureen,2025-05-18
,10,Ashley,2025-05-18
,10,Kathy,2025-05-16
,10,Linda,2025-05-16
,4,Christopher,2025-05-16
,10,Deborah,2025-05-11
,10,LaShaunna,2025-05-10
Clean comfy rooms. Rooftop bar fun and delicious appetizers.  Arrived for the 3 pm check in room was not ready but wasn’t too long a wait.  Fifth floor corner room nice and quiet with nice views,10,Pamela,2025-05-01
,10,Jocelyn,2025-04-29
