review_text,rating,author_name,timestamp
Welcoming reception and nice room. A variety of snacks to buy or restaurant selections. Even a happy hour!,10,Gloria,2025-10-02
Excellent all around ,10,Carl,2025-10-02
Nice staff and clean facilities ,10,Ruth,2025-10-02
"Okay, pool was out of service but we still enjoyed our stay.",10,Christopher,2025-09-28
,10,Brian,2025-09-17
"Super clean, I could smell that they had shampooed they carpeting recently (not an offensive smell). Being physically disabled, I felt safe traveling there with my young elementary aged son. The room was huge and comfortable. We enjoyed the pool and spa tub that were so super clean. I would definitely stay here again without a second thought. The staff was very friendly and helpful.",10,Brian,2025-09-13
Would stay again.,10,Patty,2025-09-12
,10,lee,2025-09-06
,8,Elena,2025-09-06
The staff were very accommodating.  We asked for a room change due to freeway noise and they didn’t hesitate to change our room to a quieter area of the hotel.,10,Geraldine,2025-09-01
,10,Karl Heinz,2025-08-31
,4,todd,2025-08-23
Wonderful! ,10,Rachel,2025-08-22
lived it ! ,10,David,2025-08-21
"Good stay, loved the pool. ",10,Masie,2025-08-20
"Clean, great rooms and comfortable",10,Carolyn,2025-08-19
Great place to stay!,10,Linda,2025-08-19
"
the food at the restaurant was not good .",6,Patrick,2025-08-19
,10,Tim,2025-08-18
,10,Andrea,2025-08-18
"I stayed at a competitive hotel earlier in the week, and so when we walked into this Hilton, I was very struck by the difference. The staff is so nice and professional, the room is huge and the finishes are just so much nicer. 
The pool was clean, the bathroom is beautiful. I will never again not spend the extra $50 to stay at a Hilton. ",10,Mary,2025-08-17
,10,MARCO ANTONIO,2025-08-16
Everything ,10,Martin,2025-08-16
"Staff were welcoming and friendly. The restaurant was amazing, they serve the best smash burger ever! The lemonade tasted homemade and was delicious and refreshing. The property, inside and out, was clean and refreshing. Would stay there again any time!!! ",10,Jean,2025-08-15
"The check in system was down when we got there, was not their fault. But it seemed like everyone was panicking and disorganized. The lobby air conditioning was out. The hallway air conditioning was out as well. Overall a very nice hotel but lots of issues while we were there.",6,Kristin,2025-08-13
The 24/7 coffee in the lobby was great. ,10,ELLIE,2025-08-12
,10,Brian,2025-08-08
,10,Ana,2025-08-07
Beautiful place!!,10,Rob,2025-08-04
"Staff are not enthusiastic except the bar waitress Saturday night was AMAZING- best part of our stay. Most staff struggled to provide smile or appreciation.
Disappointed I thought I paid for breakfast but then get I get $15 vouchers I paid $18 for. 
Nice hotel, very noisy next to the freeway. ",4,Cheryl,2025-08-03
,10,Kathleen,2025-08-01
,10,Tammy,2025-07-31
It was quiet and comfortable.  The food in the restaurant was excellent.  Highly recommend eating there. ,10,Ronald,2025-07-29
Great stay!,10,Saul,2025-07-27
,10,Verified traveler,2025-07-25
"Property was really clean, staff was on point and restaurant had great food. Will stay again when in the area,",10,Judy,2025-07-23
"Stayed 2 nights for a friends' get-away weekend, mostly in the hotel just for changing/sleeping. Easy check-in, room was ready a bit early as requested. Clean spacious room, comfortable mattress and pillows. Would have appreciated a little more lighting though, all lamps were small and room was dim after sunset even with lights on. Was really nice to have water bottle-filling station in the lobby---nice touch on a hot weekend!",10,Verified traveler,2025-07-23
Loved it once again! ,10,Kiera,2025-07-22
"This was our second stay in Wilsonville. The location is great, we have family in Canby. The hotel is nice, well maintained. Rooms are spacious and comfortable. Staff is wonderful!",10,Marcia A,2025-07-18
,10,Amy,2025-07-13
"Hotel staff were very friendly, there was plenty of safe parking, grounds were beautiful and rooms were SO comfortable! We enjoyed the weekend brunch! 
Will definitely stay here again on our next trip to Oregon!",10,Althea,2025-07-07
,6,Cynthia,2025-07-05
"Clean and spacious room, nice restaurant and friendly staff",10,Gregory,2025-07-03
,8,William,2025-06-28
"Very clean hotel, great restaurant for drinks and food, did I mention clean!  Do not hesitate to book a stay here",10,Jerod,2025-06-27
The staff was super friendly and helpful.,8,Patricia,2025-06-25
Not very friendly staff ,6,amy,2025-06-22
"Clean, friendly environment. Great stay",10,Grady,2025-06-16
,8,Tammy,2025-06-16
,10,Sandra,2025-06-13
"Nice property. While the restaurant is ok.  I think it would be better if not doing breakfast and instead having a continental breakfast included. The quality of the food doesn't match the cost,  and $15 voucher (2 adults only, kids not included) didn't cover coffee and a breakfast. Would rather have it included and be able to pick my own food. ",8,Timothy,2025-06-09
Really nice hotel would recommend it. It looks newish. It’s clean and big. Has everything you need will be back.,10,Rick,2025-06-02
Great room. Comfortable bed. Woodburn outlets are close. Some excellent restaurants nearby.,8,Brian,2025-05-28
Very clean,10,Jocelyn,2025-05-27
,10,Jill,2025-05-26
i like the digital connectedness and comfy bed quiet room blackout blinds,10,Katie,2025-05-26
,8,yong,2025-05-22
,10,edward,2025-05-19
"If you get a room facing the main road, no way you'll get a nice sleep. Plus, the ventilation system in the bathroom keeps always running and it's very loud. Fancy hotel with bad system.",6,Nicola,2025-05-19
Clean and easy access to highway.  Lots of food options ,10,Cami,2025-05-18
"The fan of the air ventilation system in the bathroom was super noisy, can’t be turned off. Seems weird for a brand new hotel. Shades are also not providing enough darkness, so in the morning, plenty of light comes in. But the hotel is fancy and in excellent conditions.",8,Nicola,2025-05-17
,10,Deb,2025-05-14
Front desk was helpful and very nice and helpful,10,Kerri,2025-05-13
"We stayed one night while traveling and were beyond impressed! The hotel was beautiful and the room was goregous! The shower had wonderful shampoo, conditioner and gel. The hotel was clean and quiet. We had a very impressive delicious breakfast and enjoyed the 1100 app check out!",10,Laine,2025-05-11
,10,Alison,2025-05-11
"Location , restaurant, staff excellent ",10,Steve,2025-05-10
,10,Diana,2025-05-10
Our favorite hotel in Wilsonville! ,10,skyler,2025-05-09
"It was amazing. Wonderful dog friendly hotel and staff were beyond kind and helpful. Definitely will stay there again
",10,Liz,2025-05-07
,8,Danelle,2025-05-06
,10,Trevor,2025-04-25
If you get a room on the same floor as the pool… be prepared to smell chlorine throughout your stay… ,4,JACOB,2025-04-13
,8,Alycia,2025-04-06
,8,Valerie,2025-04-05
Great stay!,10,Richard,2025-04-05
"Great hotel, location etc ",10,Kaylin,2025-03-27
Always a nice place to stay ,10,Skyler,2025-03-25
,10,Antonio,2025-03-25
Absolutely fantastic! Everyone was very friendly! ,10,Shaw,2025-03-23
,10,Ahmed,2025-03-17
,6,Verified traveler,2025-03-12
Great place ,10,Robert,2025-03-06
,2,Jonathan,2025-02-25
,10,Richard,2025-02-25
,6,Julia,2025-02-24
Staff was super nice hotel was very clean and quiet . ,10,Leann,2025-02-23
,10,Curt,2025-02-17
Room was big and comfortable.  Great Amenities for the facility and room.  Easy check in and friendly customer service.  The only thing that was unpleasant was that we were issued a connecting room without notice and the sound reduction could be worked on.  We could easily hear the guests in the next room and their barking dog woke us up in the middle of the night and morning.,8,Jose,2025-02-17
,10,Todd,2025-02-17
,8,Jacqueline,2025-02-17
,10,Paulette,2025-02-16
The hotel itself was fine.  Only issue was they gave us o e rekfast voucher and said it covered us both.  So we had to get another before they would cash us out. Mimosa was good with fresh fruit puree. Pet fee of $75 for 4 days. ,10,Verified traveler,2025-02-16
"Beautiful room, good amount of parking, excellent staff",10,Amy,2025-02-13
,8,Laine,2025-01-29
,8,XueChen,2025-01-02
,8,Jim,2025-01-01
Super bien,10,Alfonso,2024-12-30
,10,Stephen,2024-12-29
Friendly staff.  Spacious modern room.,10,patricia,2024-12-28
,10,Maggie,2024-12-23
"This hotel is clean and modern.  The room was nice and large, the furnishings work well with good storage for your belongings if you like to unpack.  The shower is beautiful and the towels are new and fluffy. We loved the restaurant.   The food was fresh and delicious.   The best hotel we've stayed at in a long time.",10,Katie,2024-12-21
,10,Michael,2024-12-17
,4,Randy,2024-12-17
Nice hotel and convenient off the highway,8,Gregory,2024-12-16
In my room there are lots of cat hairs.,8,Amit,2024-12-16
Beautiful new hotel....comfy bed and nice linens. Would be nice to have breakfast included in stay.,10,Lynda,2024-12-15
,10,Christopher,2024-12-11
,6,Kiran,2024-12-07
We had an excellent stay. Very comfortable. Very clean. Exceptional service from all the staff. Friendly and convenient. I’ll be back! ,10,Ginger,2024-12-05
Very clean and well appointed. Very comfortable .  Would stay again. ,10,Debbie,2024-12-04
,10,Sophia,2024-12-02
Smells very moldy… wet carpet smell as soon as you walk in,4,Ki,2024-11-30
,10,Derek,2024-11-24
Felt very clean. Comfortable pillows (hard to find in a lodging).,10,Verified traveler,2024-11-23
